1.653,89,132,54,4.9,76.652,2913021,25.79999924
2.37,193,25,221,8.3,75.595,41223889,19.5
1.693,21,179,11,3.8,73.331,2877311,38.29999924
1.928,261,72,212,10.4,81.69512195,22031750,11.39999962
1.44,279,75,191,9.7,80.5804878,8363404,8.800000191
2.164,42,63,7,2,76.056,1240862,10.19999981
1.781,143,173,36,6.3,74.973,279569,25.29999924
1.494,142,373,42,14.4,70.40487805,9490583,13.19999981
1.86,295,84,212,10.5,80.18292683,10895586,22.5
2.715,263,114,8,6.8,69.676,321608,20.89999962
1.805,245,145,16,7.2,73.838,196796269,17.20000076
1.57,231,252,94,10.3,73.51219512,7395599,22.89999962
1.6269,240,122,100,8.2,81.19756098,34005274,14.80000019
1.879,130,124,172,7.6,78.454,16993354,18.60000038
2.01,159,76,3,4.2,73.325,45918097,24.29999924
1.922,149,87,11,4.4,78.756,4545280,17
1.55,230,87,254,10.2,76.47560976,4417781,33.5
1.639,93,137,5,4.2,78.959,11333051,6.099999905
1.424,192,154,113,8.2,79.43,1112607,16
1.51,361,170,134,11.8,77.42439024,10474410,18.5
1.87,224,81,278,10.4,79.1,5547683,14.10000038
2.656,162,74,3,4.2,75.046,14934690,11.30000019
2.265,52,69,2,2.2,71.902,6164626,13
1.72,224,194,59,9.5,75.42926829,1331475,33.29999924
1.87,263,133,97,10,79.87073171,5363352,20.39999962
2.03,127,151,370,11.8,81.66341463,65027507,22.60000038
1.918,52,100,149,5.4,72.649,3926000,36.79999924
1.39,346,117,175,11.3,79.98780488,81776930,9.699999809
1.48,133,112,218,8.3,80.38780488,11121341,32.40000153
3.375,53,69,2,2.2,71.494,14630417,5.699999809
2.655,93,302,1,7.1,66.022,746556,23.29999924
1.25,234,215,185,11.3,74.20731707,10000023,26.60000038
2.2,233,61,78,6.6,81.89756098,318041,16.10000038
2.05,313,118,165,11.4,80.74390244,4560155,28
3.03,63,69,9,2.5,81.60243902,7623600,13.60000038
1.46,85,42,237,6.5,82.03658537,59277417,27.79999924
2.173,82,97,9,3.4,74.883,2817210,30
1.39,77,202,16,7,82.84268293,128070000,9.100000382
2.6,124,246,12,6.8,68.29536585,16321581,6
2.215,0,0,0,0,73.979,2998083,10.60000038
1.36,281,216,62,10.5,73.48292683,2097555,34.90000153
1.5,343,244,56,12.9,73.26829268,3097282,35.20000076
1.63,236,133,271,11.4,80.63170732,506953,14.5
2.229,0,0,0,0,76.112,364511,25.39999962
1.36,149,100,120,6.6,81.39756098,414508,13.19999981
1.57,98,31,18,2.6,72.96731707,1250400,23.10000038
2.341,238,68,5,5.5,76.096,117318941,9.399999619
1.79,251,88,190,9.4,80.70243902,16615394,8.800000191
2.17,203,79,175,9.3,80.70243902,4350700,17
2.428,78,118,1,3.5,73.699,5737723,12.30000019
1.95,169,71,129,6.7,80.99756098,4889252,9.199999809
2.901,22,16,1,0.7,75.694,3041460,19.29999924
2.622,285,104,18,7.2,76.828,3643222,14.89999962
2.73,213,117,74,7.3,72.285,6209877,11.89999962
3.158,71,186,1,4.6,68.32,93726624,16.79999924
1.41,343,215,56,10.9,76.24634146,38042794,23.39999962
1.39,194,67,339,11,79.02682927,10573100,22.29999924
2.07,1,42,7,0.9,77.301,1779676,1.5
1.59,297,122,167,10.4,73.45853659,20246871,22.29999924
1.567,247,326,73,11.5,68.84121951,142849449,16.79999924
1.4,283,131,127,9.6,74.33658537,7291436,45.5
1.15,60,12,11,1.5,81.54146341,5076732,9.899999619
1.57,270,51,276,10.6,79.42195122,2048583,14.60000038
2.588,225,76,81,8.2,55.888,51584663,50.79999924
1.37,284,157,112,10,81.62682927,46576897,42.5
2.52,128,178,7,5.6,70.335,526103,20.70000076
1.98,152,60,186,7.2,81.45121951,9378126,25.20000076
1.52,185,100,280,10.2,82.24634146,7824909,7.699999809
1.547,99,258,1,6.4,73.923,67208808,4
2.155,51,22,7,1.4,74.154,72326914,21.20000076
2.833,19,71,32,2.2,66.657,5087210,20.60000038
1.443,206,237,45,8.9,70.26536585,45870700,17.39999962
1.869,16,135,5,2.8,76.344,8270684,9.800000191
1.92,219,126,195,10.4,80.40243902,62766365,19.60000038
2.078,115,35,220,6.6,76.588,3374415,20.79999924
2.342,25,101,8,2.4,70.005,28562400,20.60000038
