2.347,193,25,221,8.3,75.926,42096739,18.39999962
1.664,21,179,11,3.8,73.814,2881922,35
1.917,261,72,212,10.4,82.04634146,22742475,11.69999981
1.44,279,75,191,9.7,80.93658537,8429991,8.699999809
2.118,42,63,7,2,76.341,1300217,10.5
1.788,143,173,36,6.3,75.292,281585,26.5
1.79,295,84,212,10.5,80.38536585,11128246,19.70000076
2.642,263,114,8,6.8,69.798,336701,26
1.777,245,145,16,7.2,74.488,200560983,14.39999962
1.5,231,252,94,10.3,74.31463415,7305888,28.20000076
1.6142,240,122,100,8.2,81.5835122,34750545,14.30000019
1.834,130,124,172,7.6,78.758,17309746,16.20000076
1.948,159,76,3,4.2,73.673,46881475,20.60000038
1.866,149,87,11,4.4,79.077,4654122,18.79999924
1.51,230,87,254,10.2,76.92439024,4267558,44.09999847
1.685,93,137,5,4.2,79.167,11382146,6.800000191
1.388,192,154,113,8.2,79.81,1135062,26.79999924
1.45,361,170,134,11.8,78.07560976,10510785,19.60000038
1.73,224,81,278,10.4,80.05121951,5591572,14.10000038
2.599,162,74,3,4.2,75.449,15419666,10.89999962
2.187,52,69,2,2.2,72.479,6221246,11.89999962
1.56,224,194,59,9.5,76.32682927,1322696,21
2.615,77,35,1,2,69.625,873596,20.20000076
1.8,263,133,97,10,80.62682927,5413971,17.79999924
2.01,127,151,370,11.8,81.96829268,65659789,23.79999924
1.98,52,100,149,5.4,72.742,3825000,33.79999924
1.41,346,117,175,11.3,80.53902439,80425823,8.100000382
1.34,133,112,218,8.3,80.63414634,11045011,54.70000076
3.219,53,69,2,2.2,72.227,15271056,5.599999905
2.606,93,302,1,7.1,66.216,753091,23.10000038
1.34,234,215,185,11.3,75.06341463,9920362,27.89999962
2.04,233,61,78,6.6,82.91707317,320716,13.39999962
2,313,118,165,11.4,80.84634146,4586897,30.39999962
3.05,63,69,9,2.5,81.70487805,7910500,12.30000019
1.43,85,42,237,6.5,82.23902439,59539717,35.20000076
1.41,77,202,16,7,83.09609756,127629000,7.800000191
2.62,124,246,12,6.8,69.61,16791425,4.599999905
2.094,0,0,0,0,74.217,3395556,21.10000038
1.44,281,216,62,10.5,73.77804878,2034319,28.29999924
1.6,343,244,56,12.9,73.86341463,2987773,26.20000076
1.57,236,133,271,11.4,81.39268293,530946,18.5
1.43,149,100,120,6.6,80.74634146,419455,14.30000019
1.54,98,31,18,2.6,73.86341463,1255882,23.70000076
2.295,238,68,5,5.5,76.412,120828307,9.5
1.72,251,88,190,9.4,81.10487805,16754962,9.5
2.1,203,79,175,9.3,81.15609756,4408100,17.70000076
2.34,78,118,1,3.5,74.319,5877108,10.60000038
1.85,169,71,129,6.7,81.45121951,5018573,8.600000382
2.601,285,104,18,7.2,77.216,3772938,10
2.625,213,117,74,7.3,72.638,6379219,10.39999962
1.33,343,215,56,10.9,76.74634146,38063164,26.39999962
1.28,194,67,339,11,80.37317073,10514844,37.59999847
1.997,1,42,7,0.9,77.59,2109568,1.600000024
1.52,297,122,167,10.4,74.41219512,20058035,22.79999924
1.691,247,326,73,11.5,70.07219512,143201676,15
1.45,283,131,127,9.6,74.83658537,7199077,50.59999847
1.29,60,12,11,1.5,81.99512195,5312437,9
1.58,270,51,276,10.6,80.12439024,2057159,20.60000038
2.554,225,76,81,8.2,58.545,52998213,52.20000076
1.32,284,157,112,10,82.42682927,46773055,54.29999924
2.47,128,178,7,5.6,70.79,537077,17.39999962
1.91,152,60,186,7.2,81.70487805,9519374,24.20000076
1.52,185,100,280,10.2,82.69756098,7996861,8.5
1.534,99,258,1,6.4,74.446,67843979,3.099999905
2.124,51,22,7,1.4,74.711,74569867,17.10000038
2.936,19,71,32,2.2,67.167,5267839,20.70000076
1.531,206,237,45,8.9,70.94414634,45593300,17.29999924
1.92,219,126,195,10.4,80.90487805,63700300,21.39999962
2.048,115,35,220,6.6,76.89,3396777,18.5
2.193,25,101,8,2.4,70.604,29774500,20.60000038
