,Country,Country Code_x,2010_x,2011_x,2012_x,2013_x,2014_x,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,Country Code_y,2010_y,2011_y,2012_y,2013_y,2014_y,Country Code_x,2010_x,2011_x,2012_x,2013_x,2014_x,Country Code_y,2010_y,2011_y,2012_y,2013_y,2014_y
21,czech republic,CZE,1.51,1.43,1.45,1.46,1.53,361,170,134,11.8,CZE,77.42439024,77.87317073,78.07560976,78.17560976,78.82439024,CZE,10474410.0,10496088.0,10510785.0,10514272.0,10525347.0,CZE,18.5,17.89999962,19.60000038,18.89999962,16.70000076
22,germany,DEU,1.39,1.39,1.41,1.42,1.47,346,117,175,11.3,DEU,79.98780488,80.43658537,80.53902439,80.4902439,81.0902439,DEU,81776930.0,80274983.0,80425823.0,80645605.0,80982500.0,DEU,9.699999809,8.399999618999999,8.100000382000001,7.8000001910000005,7.599999905
23,denmark,DNK,1.87,1.75,1.73,1.67,1.69,224,81,278,10.4,DNK,79.1,79.8,80.05121951,80.3,80.7,DNK,5547683.0,5570572.0,5591572.0,5614932.0,5643475.0,DNK,14.10000038,14.30000019,14.10000038,13.0,12.39999962
24,ecuador,ECU,2.656,2.628,2.5989999999999998,2.571,2.542,162,74,3,4.2,ECU,75.046,75.244,75.449,75.661,75.87899999999999,ECU,14934690.0,15177355.0,15419666.0,15661547.0,15903112.0,ECU,11.30000019,10.69999981,10.89999962,9.800000191,10.80000019
25,spain,ESP,1.37,1.34,1.32,1.27,1.32,284,157,112,10.0,ESP,81.62682927,82.47560976,82.42682927,83.07804878,83.22926829,ESP,46576897.0,46742697.0,46773055.0,46620045.0,46480882.0,ESP,42.5,47.09999847,54.29999924,57.09999847,57.90000153
26,estonia,EST,1.72,1.61,1.56,1.52,1.54,224,194,59,9.5,EST,75.42926829,76.22926829,76.32682927,77.14146341,77.03414634,EST,1331475.0,1327439.0,1322696.0,1317997.0,1314545.0,EST,33.29999924,22.60000038,21.0,18.70000076,17.0
27,finland,FIN,1.87,1.83,1.8,1.75,1.71,263,133,97,10.0,FIN,79.87073171,80.47073171,80.62682927,80.97560976,81.18048780000001,FIN,5363352.0,5388272.0,5413971.0,5438972.0,5461512.0,FIN,20.39999962,18.89999962,17.79999924,19.60000038,19.20000076
28,fiji,FJI,2.6689999999999996,2.641,2.615,2.59,2.565,77,35,1,2.0,FJI,69.267,69.44800000000001,69.625,69.796,69.96,FJI,859950.0,867086.0,873596.0,879715.0,885806.0,FJI,20.10000038,20.10000038,20.20000076,19.60000038,18.60000038
29,france,FRA,2.03,2.01,2.01,1.99,2.01,127,151,370,11.8,FRA,81.66341463,82.11463415,81.96829268,82.2195122,82.67073171,FRA,65027507.0,65342775.0,65659789.0,65998573.0,66331958.5,FRA,22.60000038,21.89999962,23.79999924,23.70000076,23.89999962
30,united kingdom,GBR,1.92,1.91,1.92,1.83,1.81,219,126,195,10.4,GBR,80.40243902,80.95121951,80.90487805,81.00487805,81.30487805,GBR,62766365.0,63258918.0,63700300.0,64128226.0,64613160.0,GBR,19.60000038,20.10000038,21.39999962,20.29999924,16.70000076
31,georgia,GEO,1.9180000000000001,1.954,1.98,1.996,2.003,52,100,149,5.4,GEO,72.649,72.68,72.742,72.832,72.95100000000001,GEO,3926000.0,3875000.0,3825000.0,3776000.0,3727000.0,GEO,36.79999924,36.59999847,33.79999924,35.70000076,34.09999847
32,greece,GRC,1.48,1.4,1.34,1.29,1.3,133,112,218,8.3,GRC,80.38780488,80.73170732,80.63414634,81.28536585,81.38536585,GRC,11121341.0,11104899.0,11045011.0,10965211.0,10892413.0,GRC,32.40000153,44.09999847,54.70000076,58.0,53.90000153
33,guatemala,GTM,3.375,3.292,3.219,3.1510000000000002,3.089,53,69,2,2.2,GTM,71.494,71.867,72.227,72.562,72.869,GTM,14630417.0,14948919.0,15271056.0,15596214.0,15923559.0,GTM,5.6999998089999995,7.400000095,5.599999905,5.6999998089999995,5.400000095
34,guyana,GUY,2.655,2.63,2.6060000000000003,2.582,2.559,93,302,1,7.1,GUY,66.02199999999999,66.117,66.21600000000001,66.318,66.425,GUY,746556.0,749100.0,753091.0,758081.0,763393.0,GUY,23.29999924,22.89999962,23.10000038,23.39999962,23.79999924
35,croatia,HRV,1.55,1.48,1.51,1.46,1.46,230,87,254,10.2,HRV,76.47560976,76.77560976,76.92439024,77.12682927,77.47804878,HRV,4417781.0,4280622.0,4267558.0,4255689.0,4238389.0,HRV,33.5,36.59999847,44.09999847,50.29999924,45.90000153
36,hungary,HUN,1.25,1.23,1.34,1.35,1.44,234,215,185,11.3,HUN,74.20731707,74.85853659,75.06341463,75.56585366,75.76341463,HUN,10000023.0,9971727.0,9920362.0,9893082.0,9866468.0,HUN,26.60000038,26.0,27.89999962,27.0,21.0
37,ireland,IRL,2.05,2.03,2.0,1.96,1.94,313,118,165,11.4,IRL,80.74390244,80.74634146,80.84634146,81.0,81.34878049,IRL,4560155.0,4576794.0,4586897.0,4598294.0,4617225.0,IRL,28.0,29.10000038,30.39999962,26.70000076,25.79999924
38,iceland,ISL,2.2,2.02,2.04,1.93,1.93,233,61,78,6.6,ISL,81.89756098,82.35853659,82.91707317,82.06097561,82.86097561,ISL,318041.0,319014.0,320716.0,323764.0,327386.0,ISL,16.10000038,14.60000038,13.39999962,11.10000038,10.89999962
39,israel,ISR,3.03,2.98,3.05,3.03,3.08,63,69,9,2.5,ISR,81.60243902,81.65609756,81.70487805,82.05609756,82.15365854,ISR,7623600.0,7765800.0,7910500.0,8059500.0,8215700.0,ISR,13.60000038,11.60000038,12.30000019,10.69999981,11.0
40,italy,ITA,1.46,1.44,1.43,1.39,1.37,85,42,237,6.5,ITA,82.03658537,82.18780488,82.23902439,82.6902439,83.0902439,ITA,59277417.0,59379449.0,59539717.0,60233948.0,60789140.0,ITA,27.79999924,29.10000038,35.20000076,39.70000076,44.09999847
41,jamaica,JAM,2.173,2.136,2.102,2.072,2.0469999999999997,82,97,9,3.4,JAM,74.883,75.122,75.334,75.523,75.689,JAM,2817210.0,2829493.0,2840992.0,2851807.0,2862087.0,JAM,30.0,29.5,32.90000153,35.70000076,30.5
42,japan,JPN,1.39,1.39,1.41,1.43,1.42,77,202,16,7.0,JPN,82.84268293,82.59121951,83.09609756,83.33195122,83.58780488,JPN,128070000.0,127833000.0,127629000.0,127445000.0,127276000.0,JPN,9.100000382000001,8.0,7.8000001910000005,6.8000001910000005,6.5
43,kazakhstan,KAZ,2.6,2.59,2.62,2.64,2.74,124,246,12,6.8,KAZ,68.29536585,68.98,69.61,70.45,71.62,KAZ,16321581.0,16556600.0,16791425.0,17035275.0,17289224.0,KAZ,6.0,5.3000001910000005,4.599999905,4.099999905,3.5
44,kuwait,KWT,2.215,2.151,2.094,2.046,2.011,0,0,0,0.0,KWT,73.979,74.096,74.217,74.33800000000001,74.458,KWT,2998083.0,3191051.0,3395556.0,3598385.0,3782450.0,KWT,10.60000038,21.60000038,21.10000038,20.5,19.39999962
45,lithuania,LTU,1.5,1.55,1.6,1.59,1.63,343,244,56,12.9,LTU,73.26829268,73.56341463,73.86341463,73.91463415,74.51707317,LTU,3097282.0,3028115.0,2987773.0,2957689.0,2932367.0,LTU,35.20000076,32.0,26.20000076,21.89999962,21.5
46,luxembourg,LUX,1.63,1.52,1.57,1.55,1.5,236,133,271,11.4,LUX,80.63170732,80.98780488,81.39268293,81.8,82.22926829,LUX,506953.0,518347.0,530946.0,543360.0,556319.0,LUX,14.5,16.79999924,18.5,19.20000076,16.0
47,latvia,LVA,1.36,1.33,1.44,1.52,1.65,281,216,62,10.5,LVA,73.48292683,73.57560976,73.77804878,73.98292683,74.12439024,LVA,2097555.0,2059709.0,2034319.0,2012647.0,1993782.0,LVA,34.90000153,31.0,28.29999924,23.10000038,19.29999924
48,maldives,MDV,2.229,2.221,2.209,2.191,2.165,0,0,0,0.0,MDV,76.112,76.259,76.40100000000001,76.571,76.783,MDV,364511.0,375131.0,386203.0,397397.0,408247.0,MDV,25.39999962,25.5,26.60000038,26.0,26.89999962
49,mexico,MEX,2.3409999999999997,2.318,2.295,2.27,2.2430000000000003,238,68,5,5.5,MEX,76.096,76.251,76.41199999999999,76.579,76.753,MEX,117318941.0,119090017.0,120828307.0,122535969.0,124221600.0,MEX,9.399999618999999,10.0,9.5,9.399999618999999,9.899999618999999
50,malta,MLT,1.36,1.45,1.43,1.38,1.42,149,100,120,6.6,MLT,81.39756098,80.74634146,80.74634146,81.74634146,81.94634146,MLT,414508.0,416268.0,419455.0,423374.0,427364.0,MLT,13.19999981,14.0,14.30000019,14.10000038,13.60000038
51,mongolia,MNG,2.637,2.716,2.7739999999999996,2.805,2.8110000000000004,77,189,8,4.9,MNG,67.383,67.82,68.215,68.558,68.847,MNG,2712650.0,2761516.0,2814226.0,2869107.0,2923896.0,MNG,14.10000038,9.0,9.600000382000001,9.600000382000001,9.300000191
52,mauritius,MUS,1.57,1.55,1.54,1.44,1.43,98,31,18,2.6,MUS,72.96731707,73.26682927,73.86341463,74.01707317,74.19439024,MUS,1250400.0,1252404.0,1255882.0,1258653.0,1260934.0,MUS,23.10000038,21.70000076,23.70000076,21.89999962,21.20000076
53,nicaragua,NIC,2.428,2.383,2.34,2.3,2.2640000000000002,78,118,1,3.5,NIC,73.699,74.016,74.319,74.608,74.884,NIC,5737723.0,5807820.0,5877108.0,5945747.0,6013997.0,NIC,12.30000019,11.60000038,10.60000038,7.6999998089999995,7.599999905
54,netherlands,NLD,1.79,1.76,1.72,1.68,1.71,251,88,190,9.4,NLD,80.70243902,81.20487805,81.10487805,81.30487805,81.70731707,NLD,16615394.0,16693074.0,16754962.0,16804432.0,16865008.0,NLD,8.800000191,7.5,9.5,11.0,11.10000038
55,norway,NOR,1.95,1.88,1.85,1.78,1.75,169,71,129,6.7,NOR,80.99756098,81.29512195,81.45121951,81.75121951,82.1,NOR,4889252.0,4953088.0,5018573.0,5079623.0,5137232.0,NOR,9.199999809,8.699999809,8.600000382000001,9.100000382000001,8.399999618999999
56,new zealand,NZL,2.17,2.09,2.1,2.01,1.92,203,79,175,9.3,NZL,80.70243902,80.90487805,81.15609756,81.40731707,81.40487805,NZL,4350700.0,4384000.0,4408100.0,4442100.0,4509700.0,NZL,17.0,17.20000076,17.70000076,15.80000019,14.60000038
57,oman,OMN,2.9010000000000002,2.8960000000000004,2.878,2.846,2.799,22,16,1,0.7,OMN,75.694,75.922,76.141,76.358,76.578,OMN,3041460.0,3237268.0,3464644.0,3711481.0,3960925.0,OMN,19.29999924,19.0,18.79999924,18.60000038,18.79999924
58,panama,PAN,2.622,2.613,2.6010000000000004,2.585,2.565,285,104,18,7.2,PAN,76.828,77.021,77.21600000000001,77.413,77.61,PAN,3643222.0,3707782.0,3772938.0,3838462.0,3903986.0,PAN,14.89999962,11.89999962,10.0,10.10000038,11.0
59,philippines,PHL,3.158,3.109,3.0669999999999997,3.028,2.992,71,186,1,4.6,PHL,68.32,68.433,68.553,68.68,68.813,PHL,93726624.0,95277940.0,96866642.0,98481032.0,100102249.0,PHL,16.79999924,16.10000038,16.39999962,16.60000038,16.39999962
