0,
1,0.0
2,119.82
3,36.57
4,
5,139.57
6,206.63
7,11.84
8,8.68
9,0.0
10,
11,217.13
12,73.45
13,
14,74.45
15,164.17
16,
17,127.88
18,148.41
19,66.45
20,80.76
21,239.01
22,204.0
23,42.9
24,196.23
25,143.21
26,84.88
27,123.14
28,241.61
29,91.58
30,187.01
31,198.98
32,34.88
33,148.31
34,53.32
35,18.01
36,41.8
37,367.98
38,305.96
39,145.41
40,137.66
41,83.79
42,85.45
43,
44,233.7
45,271.02
46,15.59
47,140.66
48,267.68
49,374.12
50,140.18
51,
52,59.87
53,114.25
54,63.43
55,
56,118.51
57,158.03
58,72.29
59,126.0
60,
61,55.52
62,63.3
63,
64,192.37
65,139.4
66,87.1
67,13.27
68,443.26
69,142.03
70,285.51
71,85.03
72,97.29
73,234.53
74,33.5
75,141.62
76,129.48
77,279.74
78,13.56
79,96.88
80,454.11
81,148.11
82,165.39
83,80.69
84,
85,28.4
86,30.6
87,268.47
88,
89,79.47
90,165.14
91,264.35
92,77.53
93,11101.91
