albania,
united arab emirates,105.87
argentina,32.98
armenia,133.22
australia,211.49
austria,14.96
belgium,0
bulgaria,299.36
bahrain,226.71
belarus,153.3
belize,72.41
brazil,133.52
barbados,133.84
canada,125.02
switzerland,160.84
chile,62.88
colombia,89.83
cabo verde,221.11
costa rica,207.05
cuba,43.78
cyprus,186.24
czech republic,126.33
germany,81.8
denmark,115.46
ecuador,229.26
spain,106.97
estonia,203.61
finland,211.18
fiji,36.31
france,152.82
united kingdom,48.68
georgia,34.69
greece,349.53
guatemala,299.85
guyana,92.95
croatia,138.58
hungary,87.41
ireland,86.08
iceland,27.86
israel,252.41
italy,293.76
jamaica,11.41
japan,288.75
kazakhstan,407.69
kuwait,136.53
lithuania,5.39
luxembourg,47.5
latvia,120.04
maldives,65.52
mexico,
malta,113.08
mongolia,142.82
mauritius,89.55
nicaragua,146.49
netherlands,
norway,62.73
new zealand,67.83
oman,44.91
panama,183.86
philippines,127.86
poland,18.85
portugal,138.78
paraguay,299.68
qatar,243.45
romania,116.96
russian federation,281.66
singapore,9.31
el salvador,88.59
serbia,353.31
suriname,141.77
slovenia,168.22
sweden,77.59
thailand,23.07
turkmenistan,31.63
turkey,264
ukraine,
uruguay,78.29
uzbekistan,
south africa,67.14
