0,
1,0.0
2,103.42
3,37.48
4,
5,138.78
6,212.12
7,13.91
8,2.49
9,0.0
10,273.32
11,201.55
12,56.4
13,
14,73.41
15,134.16
16,
17,133.09
18,134.52
19,63.53
20,89.26
21,210.3
22,190.46
23,64.61
24,186.07
25,134.55
26,62.88
27,116.06
28,231.92
29,
30,196.83
31,192.33
32,55.57
33,153.08
34,55.11
35,0.0
36,40.69
37,356.38
38,266.23
39,221.24
40,117.41
41,74.21
42,84.86
43,
44,231.16
45,296.67
46,9.88
47,109.84
48,242.19
49,444.56
50,91.48
51,
52,57.22
53,97.67
54,64.99
55,
56,125.53
57,144.55
58,80.97
59,127.01
60,
61,49.31
62,75.39
63,
64,187.59
65,132.73
66,90.59
67,8.23
68,428.57
69,137.99
70,273.97
71,114.1
72,0.0
73,217.73
74,131.4
75,137.87
76,143.91
77,283.02
78,14.9
79,101.32
80,286.8
81,158.2
82,170.26
83,79.56
84,
85,35.42
86,23.29
87,
88,
89,84.92
90,166.67
91,249.09
92,78.86
93,10663.64
