0,
1,0.0
2,111.35
3,37.01
4,
5,149.07
6,209.82
7,
8,6.52
9,
10,252.91
11,201.85
12,90.95
13,109.5
14,73.13
15,139.77
16,
17,
18,137.37
19,66.62
20,70.85
21,222.04
22,184.63
23,57.1
24,175.29
25,137.73
26,66.02
27,101.84
28,258.91
29,
30,177.16
31,179.56
32,74.49
33,153.04
34,59.82
35,0.0
36,45.88
37,
38,244.31
39,197.96
40,119.68
41,71.26
42,82.13
43,
44,218.21
45,257.09
46,15.86
47,111.79
48,248.81
49,401.27
50,147.88
51,
52,102.08
53,115.45
54,68.38
55,
56,121.42
57,
58,71.4
59,127.23
60,1.51
61,55.98
62,72.15
63,
64,178.3
65,153.89
66,77.09
67,18.99
68,385.33
69,131.03
70,259.22
71,91.56
72,80.78
73,216.78
74,43.33
75,131.78
76,132.82
77,240.37
78,15.08
79,104.35
80,357.34
81,149.05
82,162.1
83,76.96
84,
85,30.83
86,28.15
87,250.5
88,
89,83.93
90,171.33
91,248.64
92,85.12
93,10306.73
